Unnamed: 0,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,full adress,lat,lng,url
0,Hamont-Achel,Maison,,729000,notariale,8,503.0,0,0,0,,,1,,,,4.0,0,,1973.0,285.0," 63, 3930 Hamont-Achel",51.25127,5.54509,https://www.zimmo.be/fr/hamont-achel-3930/a-vendre/maison/JY56Z/
1,,Maison,,260000,notariale,4,,0,0,0,,,0,,,,4.0,0,,1992.0,349.0," 136, 3920 Lommel",51.2306,5.30904,https://www.zimmo.be/fr/lommel-3920/a-vendre/maison/JY56U/
2,Bilzen,Maison,,280000,notariale,5,175.0,0,0,0,,,1,,,,3.0,0,,,328.0," 6, 3740 Bilzen",50.87005,5.51343,https://www.zimmo.be/fr/bilzen-3740/a-vendre/maison/JY56P/
3,Lummen,Terrain,,125000,notariale,0,203.0,0,0,0,,,0,,,,3.0,0,,,," lot 7, 3560 Lummen",50.98699,5.19338,https://www.zimmo.be/fr/lummen-3560/a-vendre/terrain/JY56L/
4,Zonhoven,Maison,,389000,notariale,7,321.0,0,0,0,,,1,,,,3.0,0,,1993.0,250.0," 12, 3520 Zonhoven",50.97546,5.38079,https://www.zimmo.be/fr/zonhoven-3520/a-vendre/maison/JY56J/
5,Lummen,Terrain,,125000,notariale,0,203.0,0,0,0,,,0,,,,3.0,0,,,," lot 6, 3560 Lummen",50.98699,5.19338,https://www.zimmo.be/fr/lummen-3560/a-vendre/terrain/JY56K/
6,Lanaken,Appartement,,180000,notariale,3,90.0,0,0,0,,,0,,,,2.0,0,,1989.0,105.0," 80 / 3, 3620 Lanaken",50.8915,5.65588,https://www.zimmo.be/fr/lanaken-3620/a-vendre/appartement/JY56H/
7,Rekem,Appartement,,179000,notariale,0,85.0,0,0,0,,,0,,,,,0,,1996.0,663.0," 234 / 1, 3621 Rekem",50.92366,5.68624,https://www.zimmo.be/fr/rekem-3621/a-vendre/appartement/JY55B/
8,Kortessem,Maison,,219000,notariale,2,70.0,0,0,0,,,0,,,,4.0,0,,1988.0,805.0," 39, 3720 Kortessem",50.8587,5.38911,https://www.zimmo.be/fr/kortessem-3720/a-vendre/maison/JY54W/
9,Nieuwerkerken,Maison,,285226,notariale,3,128.0,0,0,0,,,0,,,,2.0,0,,2021.0,," 107 / W05, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/maison/JY54Z/
0,Nieuwerkerken,Appartement,,201192,notariale,2,27.0,0,0,0,,,0,,,,,0,,2021.0,," 24 / 1.2, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/appartement/JY53V/
1,Nieuwerkerken,Appartement,,169000,notariale,1,61.0,0,0,0,,,0,,,,,0,,2021.0,," 24 / 1.3, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/appartement/JY53X/
2,Sint-Truiden,Terrain,Terrain à bâtir,119000,notariale,0,,0,0,0,,,0,,,,3.0,0,,,," 4, 3800 Sint-Truiden",50.81503,5.18508,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/terrain/JY53T/
3,Sint-Truiden,Maison,,345000,notariale,3,115.0,0,0,0,,,0,,,,4.0,0,,2021.0,," 126, 3800 Sint-Truiden",50.92287,5.33224,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/maison/JY53R/
4,Nieuwerkerken,Appartement,,212800,notariale,2,99.0,0,0,0,,,0,,,,,0,,2021.0,," 24 / 1.1, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/appartement/JY53U/
5,Nieuwerkerken,Appartement,,270068,notariale,2,99.0,0,0,0,,,0,,,,,0,,2021.0,," 24 / 2.1, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/appartement/JY53W/
6,Borgloon,Appartement,,230000,notariale,1,59.0,0,0,0,,,0,,,,,0,,2019.0,," 18 / 203, 3840 Borgloon",50.80152,5.34423,https://www.zimmo.be/fr/borgloon-3840/a-vendre/appartement/JY53P/
7,Nieuwerkerken,Maison,,284714,notariale,3,128.0,0,0,0,,,0,,,,3.0,0,,2021.0,," 107 / W07, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/maison/JY53M/
8,Sint-Truiden,Maison,,380000,notariale,3,133.0,0,0,0,,,0,,,,4.0,0,,2021.0,," 2A, 3800 Sint-Truiden",50.81503,5.18508,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/maison/JY53O/
9,Borgloon,Terrain,Terrain à bâtir,80000,notariale,0,,0,0,0,,,0,,,,4.0,0,,,," 5A, 3840 Borgloon",50.80152,5.34423,https://www.zimmo.be/fr/borgloon-3840/a-vendre/terrain/JY53I/
0,Sint-Truiden,Appartement,,200000,notariale,3,62.0,0,0,0,,,0,,,,3.0,0,,1982.0,253.0," Albertlaan 59 / 401, 3800 Sint-Truiden",50.81784,5.17758,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/appartement/JY54F/
1,Tessenderlo,Terrain,Terrain agricole,110000,notariale,0,,0,0,0,,,0,,,,,0,,,," 38+, 3980 Tessenderlo",51.06742,5.08763,https://www.zimmo.be/fr/tessenderlo-3980/a-vendre/terrain/JY548/
2,Tongeren,Maison,,185000,notariale,4,147.0,0,0,0,,,0,,,,3.0,0,,,578.0," 39, 3700 Tongeren",50.78085,5.4635,https://www.zimmo.be/fr/tongeren-3700/a-vendre/maison/JY54C/
3,Hasselt,Maison,,449000,notariale,6,410.0,0,0,0,,,0,,,,4.0,0,,1954.0,," 42, 3500 Hasselt",55.78607,12.33996,https://www.zimmo.be/fr/hasselt-3500/a-vendre/maison/JY54E/
4,Diepenbeek,Maison,,219000,notariale,4,70.0,0,0,0,,,0,,,,3.0,0,,1935.0,613.0," 5, 3590 Diepenbeek",50.90819,5.4206,https://www.zimmo.be/fr/diepenbeek-3590/a-vendre/maison/JY54D/
5,Sint-Truiden,Bien professionnel,Bien commercial avec habitation,195000,notariale,2,10.0,0,0,0,,,0,,,,2.0,0,,,456.0," 49, 3800 Sint-Truiden",50.81503,5.18508,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/bien-professionnel/JY53Y/
6,Nieuwerkerken,Appartement,,221942,notariale,2,74.0,0,0,0,,,0,,,,,0,,2021.0,," 24 / 2.2, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/appartement/JY540/
7,Sint-Truiden,Maison,,415000,notariale,4,271.0,0,0,0,,,0,,,,4.0,0,,1978.0,283.0," 24, 3800 Sint-Truiden",50.81503,5.18508,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/maison/JY53Z/
8,Sint-Truiden,Maison,,410000,notariale,3,159.0,0,0,0,,,0,,,,4.0,0,,2021.0,," 128, 3800 Sint-Truiden",50.92282,5.33221,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/maison/JY53Q/
9,Nieuwerkerken,Appartement,,300000,notariale,2,57.0,0,0,0,,,0,,,,,0,,2021.0,," 24 / 0.1, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/appartement/JY53S/
0,Sint-Truiden,Maison,,229000,notariale,3,60.0,0,0,0,,,0,,,,3.0,0,,1850.0,490.0," 93, 3800 Sint-Truiden",50.81503,5.18508,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/maison/JY54V/
1,Borgloon,Appartement,,275000,notariale,2,83.0,0,0,0,,,0,,,,,0,,2019.0,," 18 / 101, 3840 Borgloon",50.80152,5.34423,https://www.zimmo.be/fr/borgloon-3840/a-vendre/appartement/JY551/
2,Gingelom,Appartement,,169000,notariale,1,72.0,0,0,0,,,0,,,,,0,,,221.0," Katsei 38A, 3890 Gingelom",50.74782,5.12981,https://www.zimmo.be/fr/gingelom-3890/a-vendre/appartement/JY54L/
3,Wellen,Maison,,310000,notariale,5,87.0,0,0,0,,,0,,,,4.0,0,,1980.0,377.0," 66, 3830 Wellen",50.84062,5.33722,https://www.zimmo.be/fr/wellen-3830/a-vendre/maison/JY54S/
4,Gingelom,Maison,,299000,notariale,3,55.0,0,0,0,,,0,,,,3.0,0,,,258.0," Katsei 38, 3890 Gingelom",50.74794,5.12957,https://www.zimmo.be/fr/gingelom-3890/a-vendre/maison/JY54Y/
5,Gingelom,Maison,,449000,notariale,4,27.0,0,0,0,,,0,,,,3.0,0,,,258.0," Katsei 38, 3890 Gingelom",50.74794,5.12957,https://www.zimmo.be/fr/gingelom-3890/a-vendre/maison/JY54T/
6,Herk-de-Stad,Garage,Place de stationnement,15000,notariale,0,,0,0,0,,,0,,,,,0,,2006.0,," 67, 3540 Herk-de-Stad",50.94075,5.16552,https://www.zimmo.be/fr/herk-de-stad-3540/a-vendre/garage/JY54P/
7,Nieuwerkerken,Appartement,,239000,notariale,2,5.0,0,0,0,,,0,,,,,0,,2012.0,134.0," 110A / 001, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/appartement/JY54O/
8,Gingelom,Appartement,,145000,notariale,3,100.0,0,0,0,,,0,,,,,0,,1961.0,821.0," 74, 3890 Gingelom",50.74908,5.13248,https://www.zimmo.be/fr/gingelom-3890/a-vendre/appartement/JY54N/
9,Sint-Truiden,Appartement,,449000,notariale,3,76.0,0,0,0,,,0,,,,,0,,2005.0,140.0," 74 / 001, 3800 Sint-Truiden",50.81503,5.18508,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/appartement/JY54J/
0,Nieuwerkerken,Maison,,285222,notariale,3,128.0,0,0,0,,,0,,,,2.0,0,,2021.0,," 107 / W03, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/maison/JY53K/
1,Nieuwerkerken,Maison,,285222,notariale,3,128.0,0,0,0,,,0,,,,2.0,0,,2021.0,," 107 / W06, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/maison/JY53L/
